wallet_address,erc20_txcount_sent_to_brdg,erc20_total_sent_to_brdg,erc20_txcount_received_from_brdg,erc20_total_received_from_brdg,erc20_net_balance,t12_txcnt_sent_to_brdg,t12_total_sent_to_brdg,t12_txcnt_received_from_brdg,t12_total_received_from_brdg,t12_net_balance,diff_net_balance
0x6b7a39e05153f8d17d5657baaee3cfbaede87c26,0,0.0,11,3671.8369854899997,3671.8369854899997,12,3741.83698549,0,0.0,-3741.83698549,-70.00000000000045
0xc1dd94b0a3444f888b13f20c3d4837430cd48f59,0,0.0,2,3664.0,3664.0,2,3664.0,0,0.0,-3664.0,0.0
0xfef7f1b85e21c41574e313eb8db722000afab693,0,0.0,7,3644.73468766,3644.73468766,10,5970.73468766,4,16.9998,-5953.734887660001,-2309.000200000001
0x76b65d44f02fbf9c0bd3b1165b5ce8cef81c3ce5,0,0.0,6,3606.0,3606.0,6,3606.0,0,0.0,-3606.0,0.0
0xf9dd76ae37c740737f22a38b635ed6b4b66632a6,1,1414.96591363,8,4967.931827259999,3552.9659136299997,10,5307.93182726,1,1414.96591363,-3892.9659136300006,-340.0000000000009
0x727410065c772317a64352cb1287e49a42fef8e2,0,0.0,5,3510.0,3510.0,5,3510.0,0,0.0,-3510.0,0.0
0xf73b0bce7f0b59a5911a13b734e6da5d254e729b,0,0.0,1,3500.0,3500.0,1,3500.0,0,0.0,-3500.0,0.0
0xafb00ea022033aa3ad074836924f47bcdc893f7d,0,0.0,3,3500.0,3500.0,3,3500.0,0,0.0,-3500.0,0.0
0x49eece8686d9902fab4af96211183c783e9d91f6,0,0.0,8,3419.0000000000005,3419.0000000000005,10,4272.999999990001,0,0.0,-4272.999999990001,-853.9999999900006
0x365b7f77c52a9bccfd291f8ad8e804f0b92076c3,0,0.0,2,3380.0,3380.0,2,3380.0,0,0.0,-3380.0,0.0
0x0b7acef140ae4f3c60b9ef170c7f2ec6b46f6590,3,579.0702,1,3943.73871601,3364.66851601,1,3943.73871601,3,579.0702,-3364.66851601,0.0
0x9e3f79870722bdb2394d656e4fa25738d76527ff,0,0.0,2,3315.33047964,3315.33047964,2,3315.33047964,0,0.0,-3315.33047964,0.0
0x01ccab0cfee876951323a08c92b74f6d4ff6e07d,0,0.0,1,3223.0,3223.0,1,3223.0,0,0.0,-3223.0,0.0
0x37e0123ad89d1f4db6daad3c29168d3f49c4e012,0,0.0,4,3215.0,3215.0,6,3715.0,0,0.0,-3715.0,-500.0
0x2d2be69268b5d5e0711fdaa765cdd41eabb2d1e8,0,0.0,19,3212.0,3212.0,19,3212.0,0,0.0,-3212.0,0.0
0xda68a0707753044a2153d6f5c8822e7f9c9b02a7,1,3701.312,2,6870.37428182,3169.06228182,2,6870.37428181,1,3701.31199999,-3169.06228182,0.0
0x4d2a609cf33434820ab610d55ff1787e2e70af53,0,0.0,2,3121.2,3121.2,2,3121.2,0,0.0,-3121.2,0.0
0x666296cafe140f9bd538e3e509912a640ccb6f0d,0,0.0,14,3072.38874062,3072.38874062,17,4012.38874062,0,0.0,-4012.38874062,-940.0
0x729b06c72db733a9956a81c8ecc8be83b59eb8f0,0,0.0,6,3050.0,3050.0,6,3050.0,0,0.0,-3050.0,0.0
0xdf78badd9a3fb17231708b577e8c15b4088663bb,0,0.0,12,3000.5,3000.5,13,3057.4999999899997,0,0.0,-3057.4999999899997,-56.99999998999965
0x394a1fa1b12d901771280da5c943b882603fba1f,1,5.0,7,3000.0,2995.0,10,4285.8,1,5.0,-4280.8,-1285.8000000000002
0x7bd68b4f7d6df13676d7a810d8893a1c8495492a,0,0.0,13,2963.2631608799998,2963.2631608799998,13,2963.2631608700003,0,0.0,-2963.2631608700003,9.99943949864246e-09
0xe0117ec4ed0baab5b28614292063ae16c6beb14e,0,0.0,13,2910.0,2910.0,15,3190.0,0,0.0,-3190.0,-280.0
0x50251d8d186c475f8c1f466c6929d35a1a084951,0,0.0,24,2842.55375108,2842.55375108,24,2842.5537510599997,0,0.0,-2842.5537510599997,2.000024323933758e-08
0x0c508c9b969c6d369722dba6a37f9586ddf16633,0,0.0,8,2805.4,2805.4,8,2805.39999999,0,0.0,-2805.39999999,9.999894245993346e-09
